id,mediumname,freeoremployed,UpDate,fairness,Suspiciousmedium
316,ProSieben,fest,2018-10-04 09:07:28.323255+00,"",Ok
317,Radio Mülheim,frei,2018-10-04 09:13:18.513429+00,"",Ok
318,Ze.tt,frei,2018-10-04 09:14:59.199825+00,"",Ok
319,Ruhr-Nachrichten Schwerte,frei,2018-10-04 09:15:40.093984+00,"",Ok
320,Iserlohner Kreisanzeiger und Zeitung,frei,2018-10-04 09:16:14.053672+00,"",Ok
322,Der Feinschmecker,fest,2018-10-04 09:23:05.124462+00,"",Ok
323,Die Welt,pauschal,2018-10-04 09:25:12.072101+00,"",Ok
324,Spektrum Online,fest,2018-10-04 09:27:17.711906+00,"",Ok
325,Orange by Handelsblatt,frei,2018-10-04 09:27:45.135989+00,"",Ok
326,Der Standard,frei,2018-10-04 09:27:49.155464+00,"",Ok
327,Perspective Daily,fest,2018-10-04 09:28:54.400351+00,"",Ok
376,living & more,frei,2018-10-04 12:17:50.203758+00,"",Ok
309,Der Tagesspiegel,fest,2018-10-05 07:11:20.207379+00,"",Ok
330,Zeit Online,pauschal,2018-10-04 09:34:25.077211+00,"",Ok
331,Kölner StadtAnzeiger,frei,2018-10-04 09:34:48.600622+00,"",Ok
332,taz,fest,2018-10-04 09:36:17.954168+00,"",Ok
333,Straubinger Tagblatt,fest,2018-10-04 09:36:35.166942+00,"",Ok
334,Der SPIEGEL,frei,2018-10-04 09:38:18.535081+00,"",Ok
329,Deutsche Welle,frei,2018-10-04 09:43:09.203293+00,"",Ok
336,Men´s Health,fest,2018-10-04 09:46:43.797873+00,"",Ok
337,Unternehmermagazin,fest,2018-10-04 09:47:31.859569+00,"",Ok
338,Sonstiges,fest,2018-10-04 09:49:13.996536+00,"",Ok
341,Selbstständig,frei,2018-10-04 09:51:56.698353+00,"",Ok
342,Wiesbadener Kurier - Printzeitung,frei,2018-10-04 09:52:29.790792+00,"",Ok
343,NZZ,fest,2018-10-04 09:52:46.334472+00,"",Ok
344,Landsberger Tagblatt,frei,2018-10-04 09:55:09.369101+00,"",Ok
345,Zeit Magazin Online,frei,2018-10-04 09:59:15.682719+00,"",Ok
346,Weser-Kurier,fest,2018-10-04 10:07:33.915057+00,"",Ok
347,Focus Diabetes,frei,2018-10-04 10:09:01.237121+00,"",Ok
349,TV,fest,2018-10-04 10:09:53.961262+00,"",Ok
350,WAZ Lokalredaktionen,frei,2018-10-04 10:18:51.664866+00,"",Ok
351,WAZ Lokalredaktion Witten,fest,2018-10-04 10:21:22.045725+00,"",Ok
352,brandeins,frei,2018-10-04 10:22:40.888351+00,"",Ok
353,WAZ Wochenende,frei,2018-10-04 10:23:14.605966+00,"",Ok
354,WDR Cosmo,frei,2018-10-04 10:28:13.149473+00,"",Ok
377,Eltern,frei,2018-10-04 12:19:31.148983+00,"",Ok
302,Wirtschaftswoche,fest,2018-10-06 16:55:11.444197+00,"",Ok
355,Sat.1,fest,2018-10-04 10:28:25.774163+00,"",Ok
356,Musikexpress,frei,2018-10-04 10:34:32.944998+00,"",Ok
357,Süddeutsche Zeitung Magazin,fest,2018-10-04 10:39:45.205199+00,"",Ok
359,Sttaubinger Tagblatt,fest,2018-10-04 10:51:41.722744+00,"",Ok
360,Orf Radio Ö1,fest,2018-10-04 10:53:44.838712+00,"",Ok
361,Radio Bremen,fest,2018-10-04 10:59:56.481278+00,"",Ok
362,Selbständig,frei,2018-10-04 11:00:35.860268+00,"",Ok
365,Heilbronner Stimme,fest,2018-10-04 11:21:33.149124+00,"",Ok
366,MDR Aktuell,pauschal,2018-10-04 11:25:58.664212+00,"",Ok
367,Republik (Onlinemagazin Schweiz),fest,2018-10-04 11:37:22.597465+00,"",Ok
368,PM History,frei,2018-10-04 11:43:52.448095+00,"",Ok
369,Mit Vergnügen,fest,2018-10-04 11:51:24.779413+00,"",Ok
370,Bietigheimer Zeitung,frei,2018-10-04 11:53:02.188259+00,"",Ok
371,Wanderlust,frei,2018-10-04 12:01:24.299827+00,"",Ok
372,Mittelbayerische Zeitung,fest,2018-10-04 12:10:38.739274+00,"",Ok
379,Delmenhorster Kurier,frei,2018-10-04 12:26:29.927531+00,"",Ok
378,Maxi,frei,2018-10-05 01:54:55.257226+00,"",Weird
381,essen & trinken,fest,2018-10-04 12:32:22.620258+00,"",Ok
383,Medienmagazin journalist,frei,2018-10-04 12:42:23.787777+00,"",Ok
384,WDR 2,fest,2018-10-04 12:44:46.664394+00,"",Ok
385,Wochenspiegel Halle,fest,2018-10-04 12:48:35.650644+00,"",Ok
386,Die Rheinpfalz,fest,2018-10-04 12:49:40.248874+00,"",Ok
388,Erzbistum Berlin,frei,2018-10-04 12:56:35.564441+00,"",Ok
390,SWR2 Radio,frei,2018-10-04 13:09:14.158192+00,"",Ok
391,ze.tt,fest,2018-10-04 13:19:53.82112+00,"",Ok
339,Hamburger Morgenpost,frei,2018-10-04 13:11:33.13384+00,"",Ok
392,"Produktionsfirmen i.A. von ARD, ZDF, arte, 3sat, DW",frei,2018-10-04 13:20:04.242833+00,"",Ok
